horizontal,vertical
166,234
167,234
166,234
166,234
166,234
165,234
165,234
165,234
164,234
164,235
163,234
163,234
165,234
165,234
165,234
165,235
164,234
164,234
164,234
164,234
164,234
163,234
163,234
164,234
164,234
164,234
164,234
163,234
163,234
162,235
163,234
162,235
163,234
163,234
162,234
162,234
163,234
162,234
163,234
163,234
163,234
162,234
162,234
161,234
162,234
161,234
162,234
162,234
162,234
161,235
161,234
160,234
160,235
161,235
160,234
159,234
160,234
159,234
159,234
159,234
160,234
160,234
160,234
160,234
159,234
158,234
159,234
159,234
158,234
159,234
159,234
158,234
159,234
159,234
157,234
158,234
158,234
158,234
157,234
157,234
157,234
157,234
156,234
158,234
157,234
157,235
157,234
157,234
156,234
156,234
156,234
155,234
156,234
156,234
156,234
156,234
155,234
156,234
155,234
155,234
156,234
156,234
155,235
153,234
155,235
156,234
156,234
155,234
154,234
154,234
154,234
154,234
155,234
154,234
154,234
155,234
155,234
154,234
153,234
154,234
155,234
153,234
153,234
154,234
154,234
153,234
152,234
153,234
153,233
152,234
151,234
152,234
153,234
152,234
153,234
152,234
152,234
151,234
151,234
153,234
152,234
151,234
152,234
152,234
152,234
150,234
150,234
150,234
150,234
150,234
151,234
150,234
149,234
150,234
151,234
151,234
150,234
149,234
149,234
148,234
150,234
150,235
150,234
150,234
149,234
150,234
151,234
150,234
149,234
149,234
149,234
150,234
149,234
150,234
150,234
149,234
149,234
148,234
148,234
149,234
149,234
149,234
148,234
149,234
149,234
148,234
149,234
149,234
149,234
148,234
148,234
148,234
147,234
148,234
147,234
148,233
147,234
147,234
148,234
147,234
145,234
146,234
146,234
145,234
146,234
147,234
146,234
146,234
145,234
146,234
146,234
147,234
146,234
146,234
146,234
147,235
147,234
146,234
146,234
146,234
145,234
145,234
145,234
146,234
146,234
146,234
145,234
145,234
144,234
144,234
144,235
144,234
143,234
144,234
145,234
144,234
143,234
143,234
143,233
143,234
143,234
143,235
144,234
144,234
143,234
143,234
143,234
143,234
143,234
143,234
143,234
143,234
142,234
143,234
142,234
143,234
143,234
142,235
142,234
142,234
143,234
142,234
142,234
141,234
141,234
141,234
140,234
140,234
141,234
141,234
140,234
140,234
140,234
140,235
141,234
141,235
141,235
140,234
140,234
140,234
140,234
140,234
139,234
139,234
139,233
139,235
139,234
139,234
139,234
138,234
138,234
138,234
138,234
138,234
138,234
139,234
138,234
139,234
139,234
138,234
138,234
138,234
138,234
138,234
139,234
138,235
138,234
138,234
138,234
138,233
138,234
138,234
138,234
138,234
137,234
138,235
137,234
137,234
137,234
137,234
137,234
137,235
137,234
137,234
136,234
137,234
137,234
137,234
136,233
136,234
136,234
135,234
136,234
136,234
135,234
136,234
136,234
136,234
135,234
135,234
135,234
135,234
134,234
135,235
135,234
134,234
135,234
135,235
134,233
135,234
135,234
134,233
135,234
135,234
134,234
135,234
135,234
135,234
135,234
134,234
134,234
134,234
134,234
135,234
134,234
134,234
134,234
134,234
134,235
134,233
133,234
133,234
133,234
133,234
133,234
133,234
133,234
133,234
133,234
132,234
133,234
131,234
131,234
132,235
132,234
131,234
130,234
129,234
129,234
128,234
128,234
129,234
129,234
129,234
128,234
128,234
129,234
128,234
128,234
129,233
128,233
129,234
129,234
128,234
127,234
128,234
128,234
128,234
128,234
128,234
128,234
128,234
128,234
128,234
128,234
128,234
128,234
127,234
127,234
127,234
127,234
128,234
126,234
126,234
127,234
127,234
127,234
127,234
128,234
127,234
127,234
127,234
127,234
127,235
126,234
126,234
126,234
125,234
126,234
126,234
126,234
126,234
126,234
126,234
125,234
126,234
125,234
125,234
126,234
125,234
126,235
126,234
125,234
125,234
125,234
125,234
125,234
124,234
124,234
124,234
124,234
124,234
125,234
125,234
125,234
124,235
124,234
124,233
124,234
124,234
124,234
124,234
124,234
124,234
125,234
125,234
124,234
124,234
125,234
124,234
124,234
124,234
124,234
124,234
124,234
124,234
124,234
124,234
124,234
124,234
123,234
123,234
124,234
123,234
123,234
123,234
123,234
123,234
123,234
124,234
123,234
123,234
123,234
123,235
123,234
122,234
123,234
123,234
122,234
122,234
122,235
122,234
122,234
121,234
121,234
121,234
121,234
122,234
122,234
122,234
122,234
121,234
122,234
122,234
121,234
120,234
121,235
122,234
121,234
120,235
121,234
121,234
120,234
120,234
120,234
120,234
120,234
120,234
120,234
120,234
121,234
120,234
120,234
121,234
121,234
121,233
121,234
120,234
120,234
120,234
120,235
120,234
120,234
120,234
119,234
121,234
120,234
120,234
121,235
121,234
121,234
120,234
120,234
120,234
120,234
120,234
120,234
120,234
120,234
119,234
119,234
119,234
119,234
120,234
120,234
119,234
119,234
119,234
119,234
119,234
119,234
118,234
118,234
117,234
117,234
117,234
117,234
116,234
117,234
116,234
116,233
116,234
115,234
116,234
116,234
116,234
116,234
115,234
115,234
116,234
116,234
116,234
115,234
115,234
115,234
115,234
116,234
114,234
115,235
115,234
115,234
115,234
114,234
114,235
115,234
115,234
115,234
115,234
115,234
114,234
115,234
115,234
115,234
114,233
114,234
115,234
114,234
114,234
114,234
114,235
114,234
115,234
114,234
115,234
115,234
114,234
113,234
113,234
113,234
113,235
113,234
114,234
114,234
114,234
113,234
113,234
114,234
113,235
113,234
112,234
113,234
113,234
112,234
111,234
111,234
111,234
111,234
111,234
110,234
110,234
111,234
111,233
111,234
111,234
111,234
111,235
111,234
111,234
110,234
111,234
110,234
110,234
110,233
109,233
109,233
110,234
110,234
110,235
110,234
110,234
109,234
110,234
110,234
109,234
110,234
109,234
108,234
109,234
109,234
110,234
109,234
109,234
109,234
108,234
109,234
110,234
109,234
108,234
109,234
109,234
109,235
109,234
109,234
109,234
110,234
109,234
109,234
109,234
109,234
109,234
109,234
109,234
110,234
109,234
110,234
109,234
110,234
110,234
109,234
108,234
108,234
108,234
108,234
108,234
109,234
108,234
109,234
108,234
108,234
109,234
108,234
108,234
108,234
108,234
109,234
108,234
109,234
109,234
108,234
108,234
108,234
108,234
109,234
108,234
107,233
108,234
108,234
108,235
109,234
108,234
108,234
108,234
107,234
108,234
109,234
109,233
109,234
109,234
109,234
109,234
108,234
108,234
108,234
108,234
107,234
108,234
108,234
107,234
108,234
107,234
108,234
109,234
108,234
108,234
109,234
108,234
108,234
108,234
108,234
109,234
109,234
109,234
110,235
109,234
109,234
109,235
109,234
110,234
109,234
109,234
109,235
109,234
109,234
109,234
109,234
109,234
109,234
109,234
109,234
109,234
109,234
109,234
109,235
108,234
109,234
109,234
109,234
108,234
108,234
108,234
109,234
109,235
109,234
109,234
109,234
109,234
109,234
109,234
109,234
109,235
109,233
109,234
109,234
108,234
108,234
109,234
108,234
108,234
109,234
109,234
109,234
107,234
107,234
108,234
108,234
108,234
109,234
109,234
109,234
109,234
108,234
107,234
107,234
108,234
107,234
107,234
107,234
107,235
107,234
109,234
108,234
108,234
108,234
108,234
108,234
108,234
108,234
108,234
108,234
108,234
108,234
108,234
108,234
107,233
107,234
107,235
107,234
108,234
108,234
108,234
108,234
108,234
108,234
107,234
108,234
108,234
109,235
109,234
108,234
109,234
109,234
109,234
109,234
109,234
108,234
108,234
108,234
108,234
108,234
109,233
108,234
108,234
107,234
108,235
108,235
109,234
109,234
108,234
109,234
109,234
109,234
109,234
108,234
108,234
108,234
109,234
108,234
109,234
109,234
108,234
109,234
108,234
108,234
108,233
108,234
108,234
108,234
109,234
109,234
108,234
107,234
107,234
108,234
107,234
107,234
108,234
108,233
108,234
108,234
108,233
107,234
107,234
107,234
107,234
107,234
108,234
107,234
107,234
107,234
106,234
106,234
107,234
107,234
106,234
107,234
106,234
107,234
107,234
107,234
106,234
106,234
106,234
107,234
107,234
106,234
107,234
106,235
107,234
106,234
106,234
107,234
107,234
106,234
106,234
106,234
106,234
107,234
106,234
107,234
107,234
106,234
106,234
106,234
107,233
107,234
107,234
107,234
107,233
107,234
106,234
107,234
106,234
105,234
106,234
106,234
106,234
106,234
105,234
106,235
105,234
105,234
105,234
104,234
104,234
105,234
105,234
104,234
104,234
104,234
104,234
104,234
104,234
105,234
105,234
104,234
104,234
103,234
104,234
103,234
103,234
103,234
103,234
104,234
104,234
104,234
105,234
104,234
104,234
104,234
104,234
104,234
105,234
104,234
105,234
104,234
105,234
104,234
104,234
104,234
104,234
104,234
104,234
104,234
105,234
104,234
104,234
106,234
105,234
104,234
104,234
105,234
104,235
104,233
103,234
104,234
103,234
104,234
104,234
104,234
103,234
103,234
103,234
102,234
102,234
103,235
104,234
104,234
104,234
104,234
104,234
104,234
104,235
103,234
104,234
104,234
103,234
104,234
104,234
104,235
104,234
104,234
103,234
104,234
103,234
102,234
103,234
103,234
103,234
105,234
104,234
104,234
104,234
103,233
103,234
103,234
103,234
103,234
104,234
103,234
104,234
103,234
103,234
103,234
103,234
102,234
102,234
103,234
102,234
102,234
102,234
103,233
103,234
103,234
103,234
103,234
102,235
103,234
103,234
103,233
103,234
103,234
103,234
103,234
103,234
103,234
102,234
103,234
103,234
103,234
103,234
103,234
102,234
102,234
102,234
102,234
103,234
103,234
103,234
103,234
102,233
102,234
103,234
102,234
102,234
102,234
102,235
102,234
103,234
103,234
103,234
103,234
102,234
101,234
101,233
102,234
102,234
102,234
102,234
102,234
102,234
102,234
102,234
102,234
102,234
102,234
102,234
103,234
103,234
102,234
102,234
103,234
104,234
103,234
102,234
101,234
102,234
102,234
103,234
103,234
101,234
101,234
102,234
102,234
102,234
102,234
101,234
101,234
102,234
103,234
103,234
102,233
102,234
102,234
101,234
101,234
101,234
100,234
101,234
101,234
102,235
103,234
102,234
102,234
101,234
102,234
102,234
102,234
102,234
102,234
102,234
102,234
102,234
102,234
103,234
102,235
103,234
102,234
103,234
102,234
102,235
101,234
101,234
101,234
101,234
101,234
102,234
102,234
102,234
102,234
102,234
101,234
102,234
102,234
101,234
100,234
101,234
100,234
100,234
100,234
101,234
101,234
101,234
102,234
102,233
101,234
101,234
101,234
101,233
102,234
102,234
101,234
101,234
101,234
101,234
101,234
100,234
101,234
101,234
101,234
101,234
101,234
101,234
101,234
101,234
101,234
101,234
101,234
100,234
100,234
100,234
101,234
101,234
101,234
101,234
101,234
101,233
101,234
101,234
101,234
100,234
100,234
101,234
